motion_id,motion_topic,motion_text,num_tokens,speaker,party,date,motion_priority
499,Shift Powers from MPs in the Commons to Ministers,"European Union (Withdrawal) Bill – Dealing with deficiencies arising from withdrawal
158, page 6, line 13, after “it”, insert— “() modify the Scotland Act 1998 or the Government of Wales Act 2006,”",32,Stephen Doughty,Lab,2017-12-12,important
587,Higher taxes on alcoholic drinks,"Amendment of the Law
That,— (1) It is expedient to amend the law with respect to the National Debt and the public revenue and to make further provision in connection with finance. (2) This Resolution does not extend to the making of any amendment with respect to value added tax so as to provide– (a) for zero-rating or exempting a supply, acquisition or importation; (b) for refunding an amount of tax; (c) for any relief, other than a relief that– (i) so far as it is applicable to goods, applies to goods of every description, and (ii) so far as it is applicable to services, applies to services of every description.",111,,,2015-03-23,not_important
195,Further devolution to Scotland,"European Union (Withdrawal) Bill – Creation of UK-wide frameworks
“(1) The Secretary of State must lay before each House of Parliament proposals for replacing European frameworks with UK ones. (2) UK-wide frameworks shall be proposed if and only if they are necessary to— (a) enable the functioning of the UK internal market; (b) ensure compliance with international obligations; (a) ensure the UK can negotiate, enter into and implement new trade agreements and international treaties; (b) enable the management of common resources; (c) administer and provide access to justice in cases with a cross-border element; (d) safeguard the security of the UK. (3) Ministers of the Crown shall only create UK-wide frameworks if they have consulted with, and secured the agreement of, the affected devolved administrations.",125,Jenny Chapman,Lab,2017-12-04,important
165,Further devolution to Scotland,"Financial Services (Regulation of Derivatives) — Maritime policy
‘(1) The Scotland Act 1998 is amended as follows. (2) In Schedule 5, section E3, leave out— (a) the Coastguard Act 1925”. (3) After section 90 insert section 90A as follows— “Maritime and Coastguard Agency (Scotland) 90A (1) The Maritime and Coastguard Agency is to be treated as a Cross-Border Public Authority for the purposes of sections 88 to 90. (2) The funding, operation and planning authority of Maritime and Coastguard Agency facilities in Scotland shall reside with the Scottish Government and the appropriate Scottish Minister. (3) These parts of the Maritime and Coastguard Agency which are the responsibility of Scottish Government shall be known as the Maritime and Coastguard Agency (Scotland). (4) The Maritime and Coastguard Agency (Scotland) will be responsible for maintaining and upholding domestic and international laws and obligations in the Scottish Waters. (5) For the purposes of this section, the Scottish Waters are as defined by the Scottish Adjacent Waters Boundary Order 1999.”.’.
That the clause be read a Second time.",173,Angus MacNeil,SNP,2011-03-15,important
543,Increase VAT,"Finance Bill
an amendment, to leave out from “That” to the end of the Question and add: “this House declines to give a Second Reading to the Finance Bill because it fails to address the real economic needs of the country, continues to deepen the social divide between those who have and those who have not, restricts the financial discretion of the Scottish Government over its resources, fails to tackle the iniquity of the Scottish Police and Fire and Rescue Services being unable to reclaim VAT, creates unintended consequences for small challenger banks and building societies whose capital comes from retained profits, removes the exemption from the climate change levy of renewable energy resources and, in combination with welfare changes announced in the Summer Budget 2015 and inheritance tax changes, takes from people on low and middle incomes and gives to the very richest.”",144,Roger Mullin,SNP,2015-07-21,important
30,European Union - For,"A Citizens' Agenda
[Relevant documents: Twenty-second Report of the European Scrutiny Committee, Session 2005-06, HC34-xxii, paragraph 1. Thirty-first Report of the European Scrutiny Committee, Session 2005-06, HC34- xxxi, paragraphs 1 and 30. Thirty-second Report of the European Scrutiny Committee, Session 2005-06, HC34-xxxii, paragraphs 4 and 5. Thirty-third Report of the European Scrutiny Committee, Session 2005-06, HC34-xxxiii, paragraph 16. Thirty-sixth Report of the European Scrutiny Committee, Session 2005-06, HC34-xxxvi, paragraphs 11, 18 and 19. Thirty-seventh Report of the European Scrutiny Committee, Session 2005-06, HC34-xxxvii, paragraph 49.]
That this House takes note of European Union Document No. 9390/06, Commission Communication: A Citizens' Agenda—Delivering Results for Europe: and supports the Government's view that it welcomes the principles behind 'A Citizens' Agenda' and the Commission's commitment to taking forward the Hampton Court agenda of delivering concrete results and benefits to EU citizens.",138,Geoff Hoon,Lab,2006-10-26,important
530,Increase VAT,"Economic Growth and Employment
That this House notes with concern that UK economic growth is flatlining and was choked off well before the recent Eurozone crisis, that youth unemployment is now more than one million and that Government borrowing is therefore expected to be £46 billion higher than forecast over the Parliament; further notes with regret that the Government has failed to deliver a credible growth plan, is undermining critical industries in which the UK must compete, is failing to use strategically procurement and other tools to drive growth and innovation, and is holding back regional growth with its flagship projects mired in inertia and with most business still waiting for Regional Growth Fund money seven months after the recipients were announced; therefore calls on the Government to deliver a growth plan that provides an immediate boost to the economy to increase demand and growth, including a £2 billion tax on bank bonuses to fund 100,000 jobs for young people and build 25,000 more affordable homes; and further calls on the Government to bring forward long-term investment projects to get people back to work, to reverse the damaging VAT rise of January 2011 for a temporary period giving families a £450 boost and providing immediate help for the UK’s high streets, to provide a one-year cut in VAT to five per cent. on home improvements, repairs and maintenance to help home owners and small businesses, and to provide a one-year national insurance tax break for small firms to help them grow and create jobs.",254,Chuka Umunna,Lab,2011-11-23,important
365,Schools - Greater Autonomy,"Academies Bill [ Lords] (Programme)
That the following provisions shall apply to the Academies Bill [ Lords]: 1. The Bill shall be committed to a Committee of the whole House. 2. Proceedings in Committee, any proceedings on consideration and proceedings on Third Reading shall be completed in three days. 3. Proceedings in Committee shall be taken on each of those days as shown in the first column of the following Table and in the order so shown.4. Proceedings shall (so far as not previously concluded) be brought to a conclusion at the times specified in the second column of the Table. Proceedings        Time for conclusion of proceedings First day         Clauses 1, 6, 9 and 10, new Clauses relating to Clauses 1, 6, 9 or 10, new Schedules relating to Clauses 1, 6, 9 or 10.        Three hours after the moment of interruption. Second day         Clauses 2, 7, 8 and 11 to 13, Schedule 1, Clause 14, Schedule 2, Clause 15, new Clauses relating to Clauses 2, 7 or 8 or any of Clauses 11 to 15 or Schedule 1 or 2, new Schedules relating to Clauses 2, 7 or 8 or any of Clauses 11 to 15 or Schedule 1 or 2.        One hour after the moment of interruption. Third day         Clauses 3 to 5, Clauses 16 to 20, new Clauses relating to any of Clauses 3 to 5 or 16 to 20, new Schedules relating to any of Clauses 3 to 5 or 16 to 20, remaining proceedings on the Bill.        One hour before the moment of interruption. 5. Any proceedings on consideration and proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on the third day. Programming Committee 6. Standing Order No. 83B (Programming committees) shall not apply to proceedings in Committee, any proceedings on consideration or proceedings on Third Reading.  7. Any other proceedings on the Bill (including any proceedings on consideration of any message from the Lords) may be programmed.",336,Shailesh Vara,Con,2010-07-19,not_important
278,More powers for local councils,"Neighbourhood Planning Bill – Permitted development: use clauses and demolition of drinking establishments
“(1) The Town and Country Planning (Use Classes) Order 1987 (SI/1987/764) is amended as follows. (2) At the end of section 3(6) insert— “(p) drinking establishment.” (3) In the Schedule, leave out the paragraph starting “Class A4. Drinking Establishments” (4) The Town and Country Planning (General Permitted Development) Order 1995 (SI1995/418) is amended as follows. (5) In Part 3 of Schedule 2— (a) in Class A: Permitted development, leave out “A4 (drinking establishments)”. (b) In Class AA: Permitted development, leave out “Class A4 (drinking establishments)”. (c) in Class C: Permitted development, leave out “Class A4 (drinking establishments)”. (6) In Part 31 of Schedule 2 under A.1 at end insert— “() the building subject to demolition is classed as a drinking establishment”.”
That the clause be read a Second time.",142,Roberta Blackman-Woods,Lab,2016-12-13,important
352,Schools - Greater Autonomy,"Education Bill — Selection by aptitude
(1) The School Standards and Framework Act 1998 (c. 59) is amended as follows. (2) Clause 99 (General restriction on selection by ability or aptitude) is amended by leaving out subsection (4)(b). (3) Clause 102 (Permitted Selection: aptitude for particular subjects.) shall cease to have effect.'.
That the clause be read a Second time.",60,Phil Willis,LD,2002-02-06,important
549,Identity cards - For introduction,"Identity Cards Bill [Money]
That, for the purposes of any Act resulting from the Identity Cards Bill, it is expedient to authorise the payment out of money provided by Parliament of— (a) such allowances to be paid to the National Identity Scheme Commissioner as the Treasury may determine; (b) any sums authorised or required to be paid by the Secretary of State for or in connection with the carrying out of his functions under that Act; and (c) any increase attributable to that Act in the sums which are payable out of money so provided under any other Act",99,Paul Clark,Lab,2004-12-20,not_important
55,European Union - For,"Addition to list of treaties
No. 222, in page 1, line 12, after 'excluding', insert— '(i) Article 2, paragraph 12, new Article 2B TEC (TFEU), paragraph 1(d), relating to the conservation of marine biological resources under the common fisheries policy; and (ii) '.",43,Angus Robertson,SNP,2008-02-26,important
500,Shift Powers from MPs in the Commons to Ministers,"European Union (Withdrawal) Bill – Dealing with deficiencies arising from withdrawal
25, in clause 7, page 6, line 18, at end insert— “(g) remove or reduce any protections currently conferred upon individuals, groups or the natural environment, (h) prevent any person from continuing to exercise a right that they can currently exercise, (i) amend, repeal or revoke the Equality Act 2010 or any subordinate legislation made under that Act.” .
That the amendment be made.",75,Matthew Pennycook,Lab,2017-12-12,important
460,Terrorism laws - For,"Terrorism Bill — Encouragement of Terrorism
amendment No. 79, in page 1, line 8, leave out paragraph (b) and insert— '(b) at the time he does so, he intends or is recklessly indifferent to the fact that the publication will be understood as a direct or indirect encouragement or inducement to the commission, preparation or instigation of acts of terrorism or Convention offences. (c) it is not necessary that the prosecution prove that he intended to cause, encourage or induce the commission, preparation or instigation of a specific terrorist act'.",90,Dominic Grieve,Con,2005-11-02,not_important
286,Reduce Spending on Welfare Benefits,"Education Maintenance Allowance
an amendment, to leave out from ""House"" to the end of the Question and add: ""believes in full participation in education and training for young people up to the age of 18 and considers that support must be in place to allow those who face the greatest barriers to participation to access this opportunity; notes that the previous Government left this country with one of the largest budget deficits in the world and that savings have had to be made in order to avoid burdening future generations; further notes that the Government has increased funding for deprivation within the 16 to 19 budget and has already begun to replace the current education maintenance allowance system with more targeted support for those who face genuine barriers, including travel; and commits the Government to working with young people, schools and colleges and others outside and inside Parliament on arrangements for supporting students in further education and on improving access to, enthusiasm for and participation in further and higher education.""",170,Michael Gove,Con,2011-01-19,important
101,European Union - For,"Draft European Union Budget
amendment (a), at line 15, leave out from “States”  to the end and add “notes that the UK’s ability to negotiate a satisfactory European Union budget deal has been weakened by the Prime Minister’s failure to secure allies for a more prudent settlement in this qualified majority decision; and so calls on the Government to strengthen its stance so that the 2013 Budget and the forthcoming Multi-Annual Financial Framework are reduced in real terms.”",78,Chris Leslie,Lab,2012-07-12,important
299,Reduce Spending on Welfare Benefits,"Period of entitlement to contributory allowance
That this House disagrees with Lords amendment 18.",14,Chris Grayling,Con,2012-02-01,not_important
281,More powers for local councils,"Local Government
That the draft Somerset West and Taunton (Modification of Boundary Change Enactments) Regulations 2018, which were laid before this House on 29 March, be approved.",27,,,2018-05-23,important
192,Further devolution to Scotland,"The Economy and Work
That an Humble Address be presented to Her Majesty, as follows: Most Gracious Sovereign, We, Your Majesty’s most dutiful and loyal subjects, the Commons of the United Kingdom of Great Britain and Northern Ireland in Parliament assembled, beg leave to offer our humble thanks to Your Majesty for the Gracious Speech which Your Majesty has addressed to both Houses of Parliament, but respectfully regret that a Bill to protect the National Health Service from the Transatlantic Trade and Investment Partnership was not included in the Gracious Speech.",91,,,2016-05-26,not_important
211,Homosexuality - Equal rights,"Adoption and Children Bill – Suitability Of Adopters
Lords amendment: No. 26, in clause 44, page 27, line 38, after first Xa"" insert Xmarried"".
That this House disagrees with the Lords in the said amendment.",35,David Hinchliffe,Lab,2002-11-04,important
131,European Union - For,"European Union (Notification of Withdrawal) Bill – Power to notify withdrawal from the EU
That this House disagrees with Lords amendment 1.",22,David Davis,Con,2017-03-13,important
305,Reduce Spending on Welfare Benefits,"Public Bodies
That the draft Housing Benefit (Amendment) Regulations 2012, which were laid before this House on 28 June, be approved.",21,,,2012-10-24,not_important
182,Further devolution to Scotland,"Scotland Bill – Universal credit: costs of claimants who rent accommodation
amendment 118, page 26, line 20, leave out from “unless” to end of line 25 and insert “they have consulted the Secretary of State”",35,Eilidh Whiteford,SNP,2015-06-30,important
2,Asylum System - More strict,"Nationality, Immigration and Asylum Bill — Earlier Right of Appeal
No. 13, in page 44, line 19, leave out Clause 80",21,Simon Hughes,LD,2002-06-11,important
