motion_id,motion_topic,policy_id,motion_text_length,speaker,num_tokens,has_entity,motion_text,has_entity_date,has_entity_person,has_entity_event_or_org,aux_numeric_feature,date,date_continuous,motion_priority,party
0,Asylum System - More strict,1087,162,Oliver Letwin,27,True,"Nationality, Immigration and Asylum Bill — Support for destitute asylum-seeker
No. 2, in page 9, line 6, after 'centre', insert— 'for a maximum period of 10 weeks",False,True,True,-0.5138669173366935,2002-06-11,0.2272727272727272,,Con
1,Asylum System - More strict,1087,1844,David Blunkett,322,True,"Nationality, Immigration and Asylum Bill — Appeal from within United Kingdom: unfounded human rights or asylum claim
(1) This section applies to an appeal under section 66(1) against an immigration decision on an application which is made wholly or partly on either or both of the grounds specified in section 77(4)(a) and (b). (2) A person who is in the United Kingdom may not bring an appeal to which this section applies in reliance on section 77(4) if the Secretary of State certifies that the application mentioned in subsection (1) above is clearly unfounded in so far as made on the grounds specified in section 77(4)(a) or (b) (or both). (3) A person who is in the United Kingdom may not bring an appeal to which this section applies in reliance on section 77(4) if the Secretary of State certifies that— (a) it is proposed to remove the person to a country of which he is not a national or citizen, and (b) there is no reason to believe that the person's rights under the Human Rights Convention will be breached in that country. (4) In determining whether a person in relation to whom a certificate has been issued under subsection (3) may be removed from the United Kingdom, the country specified in the certificate is to be regarded as— (a) a place where a person's life and liberty is not threatened by reason of his race, religion, nationality, membership of a particular social group, or political opinion, and (b) a place from which a person will not be sent to another country otherwise than in accordance with the Refugee Convention. (5) Where a person in relation to whom a certificate is issued under this section subsequently brings an appeal under section 66(1) while outside the United Kingdom, the appeal shall be considered as if he had not been removed from the United Kingdom.'.
That the clause be read a Second time.",False,True,True,-1.0592135218889516,2002-06-11,0.2272727272727272,,Lab
2,Asylum System - More strict,1087,115,Simon Hughes,21,True,"Nationality, Immigration and Asylum Bill — Earlier Right of Appeal
No. 13, in page 44, line 19, leave out Clause 80",False,True,True,-0.06267909727317188,2002-06-11,0.2272727272727272,,LD
3,Asylum System - More strict,1087,278,Beverley Hughes,41,True,"Nationality, Immigration and Asylum Bill — Withholding and withdrawal of support
Schedule (Withholding and withdrawal of support) (which makes provision for support to be withheld or withdrawn in certain circumstances) shall have effect.'.
That the clause be read a Second time.",False,True,True,0.9551423205012383,2002-06-12,0.2272727272727272,,Lab
4,Asylum System - More strict,1087,122,Simon Hughes,21,True,"Nationality, Immigration and Asylum Bill — Authority to carry
amendment No. 66, in page 53, line 20, leave out clause 101.",False,True,True,-0.9857260463355437,2002-06-12,0.2272727272727272,,LD
5,Asylum System - More strict,1087,128,David Blunkett,24,True,"Nationality, Immigration and Asylum Bill — Power to search for evidence
I beg to move, That the Bill be now read the Third time.",False,True,True,0.5040465155178444,2002-06-12,0.2272727272727272,,Lab
6,Asylum System - More strict,1087,323,Beverley Hughes,55,True,"Nationality, Immigration and Asylum Bill – Support for Destitute Asylum-Seeker
No. 20, in page 9, line 16, at end insert— X, and (c) there is a place available in an appropriate maintained school for any dependant of school age"" Motion made, and Question put, That this House disagrees with the Lords in the said amendment.",False,True,True,,2002-11-05,0.2272727272727272,,Lab
7,Asylum System - More strict,1087,211,Simon Hughes,33,True,"Nationality, Immigration and Asylum Bill – New Clause
Lords Amendment: No. 84, after clause 48, to insert the following new clause—Late claim for asylum: refusal of support.
amendment (b) to the Lords amendment.",False,True,True,-0.7928728322623442,2002-11-05,0.2272727272727272,,LD
8,Asylum System - More strict,1087,129,Jim Murphy,20,True,"Immigration
That the draft Asylum (Designated States) Order 2003, which was laid before this House on 11th February, be approved.",True,True,False,-0.10703035995455783,2003-03-17,0.2727272727272727,,Lab
9,Asylum System - More strict,1087,131,,22,True,"Immigration
That the draft Asylum (Designated States) (No. 2) Order 2003, which was laid before this House on 17 June, be approved.",True,True,False,-1.035242322419374,2003-07-16,0.2727272727272727,,
