motion_id,motion_topic,policy_id,motion_text_length,speaker,num_tokens,has_entity,motion_text,has_entity_date,has_entity_person,has_entity_event_or_org,aux_numeric_feature,date,date_continuous,motion_priority,party,motion_importance
0,Asylum System - More strict,1087,162,Oliver Letwin,27,True,"nationality, immigration and asylum bill — support for destitute asylum-seeker no. 2, in page 9, line 6, after 'centre', insert— 'for a maximum period of 10 weeks",0,1,1,-0.5138669173366935,2002-06-11,0.2272727272727272,not_important,Con,not_important
1,Asylum System - More strict,1087,1844,David Blunkett,322,True,"nationality, immigration and asylum bill — appeal from within united kingdom: unfounded human rights or asylum claim (1) this section applies to an appeal under section 66(1) against an immigration decision on an application which is made wholly or partly on either or both of the grounds specified in section 77(4)(a) and (b). (2) a person who is in the united kingdom may not bring an appeal to which this section applies in reliance on section 77(4) if the secretary of state certifies that the application mentioned in subsection (1) above is clearly unfounded in so far as made on the grounds specified in section 77(4)(a) or (b) (or both). (3) a person who is in the united kingdom may not bring an appeal to which this section applies in reliance on section 77(4) if the secretary of state certifies that— (a) it is proposed to remove the person to a country of which he is not a national or citizen, and (b) there is no reason to believe that the person's rights under the human rights convention will be breached in that country. (4) in determining whether a person in relation to whom a certificate has been issued under subsection (3) may be removed from the united kingdom, the country specified in the certificate is to be regarded as— (a) a place where a person's life and liberty is not threatened by reason of his race, religion, nationality, membership of a particular social group, or political opinion, and (b) a place from which a person will not be sent to another country otherwise than in accordance with the refugee convention. (5) where a person in relation to whom a certificate is issued under this section subsequently brings an appeal under section 66(1) while outside the united kingdom, the appeal shall be considered as if he had not been removed from the united kingdom.'. that the clause be read a second time.",0,1,1,-1.0592135218889516,2002-06-11,0.2272727272727272,important,Lab,important
2,Asylum System - More strict,1087,115,Simon Hughes,21,True,"nationality, immigration and asylum bill — earlier right of appeal no. 13, in page 44, line 19, leave out clause 80",0,1,1,-0.0626790972731718,2002-06-11,0.2272727272727272,important,LD,important
3,Asylum System - More strict,1087,278,Beverley Hughes,41,True,"nationality, immigration and asylum bill — withholding and withdrawal of support schedule (withholding and withdrawal of support) (which makes provision for support to be withheld or withdrawn in certain circumstances) shall have effect.'. that the clause be read a second time.",0,1,1,0.9551423205012384,2002-06-12,0.2272727272727272,important,Lab,important
4,Asylum System - More strict,1087,122,Simon Hughes,21,True,"nationality, immigration and asylum bill — authority to carry amendment no. 66, in page 53, line 20, leave out clause 101.",0,1,1,-0.9857260463355436,2002-06-12,0.2272727272727272,not_important,LD,not_important
5,Asylum System - More strict,1087,128,David Blunkett,24,True,"nationality, immigration and asylum bill — power to search for evidence i beg to move, that the bill be now read the third time.",0,1,1,0.5040465155178444,2002-06-12,0.2272727272727272,not_important,Lab,not_important
6,Asylum System - More strict,1087,323,Beverley Hughes,55,True,"nationality, immigration and asylum bill – support for destitute asylum-seeker no. 20, in page 9, line 16, at end insert— x, and (c) there is a place available in an appropriate maintained school for any dependant of school age"" motion made, and question put, that this house disagrees with the lords in the said amendment.",0,1,1,,2002-11-05,0.2272727272727272,important,Lab,important
7,Asylum System - More strict,1087,211,Simon Hughes,33,True,"nationality, immigration and asylum bill – new clause lords amendment: no. 84, after clause 48, to insert the following new clause—late claim for asylum: refusal of support. amendment (b) to the lords amendment.",0,1,1,-0.7928728322623442,2002-11-05,0.2272727272727272,not_important,LD,not_important
8,Asylum System - More strict,1087,129,Jim Murphy,20,True,"immigration that the draft asylum (designated states) order 2003, which was laid before this house on 11th february, be approved.",1,1,0,-0.1070303599545578,2003-03-17,0.2727272727272727,important,Lab,important
9,Asylum System - More strict,1087,131,,22,True,"immigration that the draft asylum (designated states) (no. 2) order 2003, which was laid before this house on 17 june, be approved.",1,1,0,-1.035242322419374,2003-07-16,0.2727272727272727,important,,important
